z2,z3,z4,z5
278.73,284.52,282.95,278.73
334.96,352.16,334.96,334.96
387.7,394.72,362.41,358.4
430.89,430.89,447.37,430.89
375.28,381.69,383.88,375.28
495.85,498.16,498.32,495.85
725.46,678.75,700.72,657.77
674.55,740.85,692.47,609.9
607.65,607.65,625.1,607.65
689.68,620.33,710.87,678.66
684.21,706.73,788.54,624.82
610.57,610.0,614.24,610.0
2585.72,2454.37,2548.06,2334.78
1038.2,1002.51,981.0,871.22
1017.95,1149.99,1184.85,1159.94
698.61,698.61,703.35,698.61
870.86,861.79,861.79,861.79
1004.99,1070.43,1116.45,917.94
757.23,771.66,776.11,644.59
524.91,521.31,537.56,470.33
993.01,1116.58,970.37,873.25
1037.15,1053.48,1048.78,930.83
1041.58,1074.3,1071.3,930.09
1178.07,1080.88,1100.76,1042.83
1407.86,1365.37,1398.02,1150.04
1280.13,1342.19,1390.99,1213.04
1315.85,1369.44,1314.05,1240.32
2551.41,2592.73,2585.92,2294.4
2196.0,2088.44,2240.18,2127.6
1803.26,1821.83,1820.46,1521.93
2254.47,2268.64,2366.8,1990.95
2241.02,2227.66,2252.39,1949.34
2249.68,2348.28,2373.83,1975.14
1170.77,1196.2,1194.82,1014.76
1364.35,1436.52,1486.29,1236.42
1681.82,1757.43,1638.66,1470.26

z1
278.73
334.96
358.40
430.89
375.28
495.85
568.56
568.56
607.65
535.80
505.01
610.00
2006.34
837.67
837.67
698.61
861.79
723.54
524.61
241.97
687.60
740.66
835.26
1024.69
826.14
819.56
1082.65
1042.12
1162.96
1029.79
1301.03
1300.30
1296.13
708.66
862.79
583.98
